,total_threatened,mammals_threatened,insects_threatened,amphibians_threatened,birds_threatened,reptiles_threatened,mammals_resident,insects_resident,amphibians_resident,birds_resident,reptiles_resident
Argentina,0.0791,0.1003,0.0744,0.2061,0.0519,0.0771,True,True,True,True,True
Armenia,0.0682,0.0761,0.0959,0.0,0.0471,0.1628,True,True,True,True,True
Australia,0.112,0.1864,0.1403,0.2108,0.0716,0.0766,True,True,True,True,True
Austria,0.0628,0.0568,0.0867,0.0,0.0426,0.0769,True,True,True,True,True
Azerbaijan,0.0648,0.0577,0.0685,0.0909,0.0489,0.18,True,True,True,True,True
Belarus,0.041,0.0571,0.0536,0.0,0.0341,0.0,True,True,True,True,True
Belgium,0.0378,0.0417,0.0544,0.0,0.0303,0.0,True,True,True,True,True
Brazil,0.0861,0.136,0.0807,0.043,0.0914,0.0766,True,True,True,True,True
Bulgaria,0.0687,0.1053,0.0813,0.0,0.0506,0.0741,True,True,True,True,True
Canada,0.0614,0.0874,0.0712,0.0213,0.0426,0.1429,True,True,True,True,True
Chile,0.1453,0.1259,0.087,0.5484,0.0774,0.2295,True,True,True,True,True
Colombia,0.1369,0.1335,0.0872,0.3706,0.0637,0.0837,True,True,True,True,True
Costa Rica,0.0705,0.0517,0.0677,0.2632,0.0328,0.0558,True,True,True,True,True
Croatia,0.069,0.1053,0.0706,0.1053,0.0485,0.125,True,True,True,True,True
Cyprus,0.0652,0.2059,0.0789,0.0,0.029,0.2778,True,True,True,True,True
Czech Republic,0.0588,0.0519,0.105,0.0,0.0314,0.0,True,True,True,True,True
Denmark,0.0455,0.0308,0.0952,0.0,0.0327,0.0,True,True,True,True,True
Estonia,0.031,0.0169,0.0319,0.0,0.0354,0.0,True,True,True,True,True
Finland,0.0449,0.0323,0.0625,0.0,0.0417,0.0,True,True,True,True,True
France,0.0927,0.104,0.1178,0.0882,0.0475,0.1515,True,True,True,True,True
Georgia,0.073,0.0784,0.1125,0.0833,0.0475,0.1556,True,True,True,True,True
Germany,0.0637,0.0693,0.1007,0.0,0.0354,0.0,True,True,True,True,True
Greece,0.1522,0.1154,0.2154,0.1739,0.0519,0.1923,True,True,True,True,True
Greenland,0.1402,0.2812,0.0,0.0,0.0822,0.0,True,True,False,True,False
Hungary,0.0658,0.0741,0.0925,0.0,0.0455,0.0833,True,True,True,True,True
Iceland,0.0949,0.24,0.0,0.0,0.0642,0.0,True,True,False,True,False
India,0.1254,0.2302,0.0433,0.2799,0.0776,0.172,True,True,True,True,True
Indonesia,0.1204,0.294,0.0767,0.0673,0.0987,0.0736,True,True,True,True,True
Ireland,0.0453,0.08,0.0,0.0,0.0431,0.5,True,True,True,True,True
Israel,0.0794,0.1441,0.0677,0.1667,0.0464,0.2,True,True,True,True,True
Italy,0.1381,0.0804,0.1936,0.2143,0.0506,0.093,True,True,True,True,True
Japan,0.1631,0.1986,0.1312,0.3509,0.1119,0.3165,True,True,True,True,True
Kazakhstan,0.0691,0.1043,0.0583,0.0833,0.0615,0.0286,True,True,True,True,True
Korea,0.1069,0.1481,0.0723,0.2778,0.0914,0.3333,True,True,True,True,True
Kyrgyzstan,0.0553,0.0658,0.069,0.0,0.0457,0.1304,True,True,True,True,True
Latvia,0.0418,0.0159,0.0648,0.0,0.041,0.0,True,True,True,True,True
Lithuania,0.0346,0.0156,0.036,0.0,0.0412,0.0,True,True,True,True,True
Luxembourg,0.0167,0.0,0.0297,0.0,0.016,0.0,True,True,True,True,True
Malta,0.0356,0.1364,0.0233,0.0,0.0244,0.1111,True,True,True,True,True
Mexico,0.1665,0.1862,0.0966,0.563,0.0615,0.128,True,True,True,True,True
Moldova,0.0541,0.0882,0.0395,0.0,0.0462,0.1429,True,True,True,True,True
Netherlands,0.0382,0.0513,0.0388,0.0,0.0369,0.0,True,True,True,True,True
New Caledonia,0.2713,0.2424,0.1273,0.0,0.1349,0.5243,True,True,False,True,True
New Zealand,0.3575,0.2045,0.3043,0.75,0.29,0.75,True,True,True,True,True
Northern Mariana Islands,0.1484,0.1579,0.0,0.0,0.1368,0.5714,True,True,False,True,True
Norway,0.0591,0.1053,0.07,0.0,0.0431,0.0,True,True,True,True,True
Peru,0.0901,0.1004,0.0082,0.2369,0.0581,0.0902,True,True,True,True,True
Poland,0.0585,0.0465,0.1,0.0,0.0378,0.0,True,True,True,True,True
Portugal,0.1616,0.163,0.2344,0.1579,0.0514,0.1724,True,True,True,True,True
Puerto Rico,0.1005,0.0526,0.0,0.7368,0.042,0.2542,True,True,True,True,True
Romania,0.0985,0.14,0.1444,0.0,0.0528,0.0952,True,True,True,True,True
Russia,0.0938,0.1082,0.0951,0.0,0.0848,0.1607,True,True,True,True,True
Saudi Arabia,0.0571,0.1209,0.0345,0.0,0.0486,0.0448,True,True,True,True,True
Slovak Republic,0.0597,0.0588,0.0913,0.0,0.0408,0.0,True,True,True,True,True
Slovenia,0.0506,0.092,0.0474,0.1053,0.0345,0.0833,True,True,True,True,True
South Africa,0.1092,0.1036,0.1539,0.128,0.0722,0.0636,True,True,True,True,True
Spain,0.13,0.1525,0.1442,0.2424,0.0548,0.2778,True,True,True,True,True
Sweden,0.048,0.0143,0.0876,0.0,0.0396,0.0,True,True,True,True,True
Switzerland,0.0723,0.0595,0.1188,0.05,0.0316,0.0,True,True,True,True,True
Tajikistan,0.0606,0.0921,0.0508,0.0,0.0459,0.1613,True,True,True,True,True
Turkmenistan,0.0686,0.0947,0.0923,0.0,0.0519,0.1111,True,True,True,True,True
Ukraine,0.0846,0.115,0.1189,0.0,0.0535,0.0625,True,True,True,True,True
United Kingdom,0.0509,0.0533,0.0737,0.0,0.0412,0.1429,True,True,True,True,True
United States,0.1292,0.0948,0.154,0.2044,0.1044,0.1231,True,True,True,True,True
Uzbekistan,0.0704,0.1111,0.0351,0.0,0.0538,0.1842,True,True,True,True,True
