country,amphibians,birds,insects,mammals,reptiles,Total
Argentina,165.0,1001.0,242.0,379.0,376.0,2163.0
Armenia,8.0,297.0,73.0,92.0,43.0,513.0
Australia,223.0,726.0,563.0,354.0,992.0,2858.0
Austria,19.0,305.0,323.0,88.0,13.0,748.0
Azerbaijan,11.0,348.0,73.0,104.0,50.0,586.0
Belarus,12.0,264.0,112.0,70.0,5.0,463.0
Belgium,15.0,264.0,147.0,72.0,5.0,503.0
Brazil,837.0,1816.0,545.0,691.0,548.0,4437.0
Bulgaria,16.0,336.0,283.0,95.0,27.0,757.0
Canada,47.0,516.0,281.0,206.0,42.0,1092.0
Chile,62.0,439.0,46.0,143.0,122.0,812.0
Colombia,769.0,1884.0,298.0,472.0,478.0,3901.0
Costa Rica,209.0,853.0,192.0,232.0,215.0,1701.0
Croatia,19.0,309.0,255.0,95.0,32.0,710.0
Cyprus,3.0,276.0,114.0,34.0,18.0,445.0
Czech Republic,20.0,287.0,219.0,77.0,9.0,612.0
Denmark,13.0,275.0,105.0,65.0,4.0,462.0
Estonia,9.0,254.0,94.0,59.0,4.0,420.0
Finland,4.0,264.0,112.0,62.0,3.0,445.0
France,34.0,358.0,518.0,125.0,33.0,1068.0
Georgia,12.0,295.0,80.0,102.0,45.0,534.0
Germany,20.0,311.0,278.0,101.0,12.0,722.0
Greece,23.0,347.0,571.0,104.0,52.0,1097.0
Greenland,0.0,73.0,2.0,32.0,0.0,107.0
Hungary,17.0,286.0,227.0,81.0,12.0,623.0
Iceland,0.0,109.0,3.0,25.0,0.0,137.0
India,268.0,1212.0,508.0,417.0,314.0,2719.0
Indonesia,416.0,1723.0,978.0,721.0,489.0,4327.0
Ireland,3.0,209.0,45.0,50.0,2.0,309.0
Israel,6.0,388.0,133.0,111.0,55.0,693.0
Italy,42.0,356.0,656.0,112.0,43.0,1209.0
Japan,57.0,447.0,160.0,146.0,79.0,889.0
Kazakhstan,12.0,439.0,103.0,163.0,35.0,752.0
Korea,18.0,361.0,83.0,81.0,9.0,552.0
Kyrgyzstan,3.0,328.0,58.0,76.0,23.0,488.0
Latvia,11.0,268.0,108.0,63.0,5.0,455.0
Lithuania,10.0,243.0,111.0,64.0,5.0,433.0
Luxembourg,13.0,187.0,101.0,53.0,5.0,359.0
Malta,2.0,205.0,43.0,22.0,9.0,281.0
Mexico,405.0,1105.0,352.0,521.0,789.0,3172.0
Moldova,11.0,238.0,76.0,68.0,14.0,407.0
Netherlands,15.0,271.0,129.0,78.0,5.0,498.0
New Caledonia,0.0,126.0,55.0,33.0,103.0,317.0
New Zealand,4.0,231.0,23.0,44.0,56.0,358.0
Northern Mariana Islands,0.0,117.0,12.0,19.0,7.0,155.0
Norway,6.0,255.0,100.0,76.0,3.0,440.0
Peru,574.0,1859.0,367.0,508.0,366.0,3674.0
Poland,15.0,291.0,200.0,86.0,6.0,598.0
Portugal,19.0,311.0,465.0,92.0,29.0,916.0
Puerto Rico,19.0,262.0,40.0,38.0,59.0,418.0
Romania,18.0,322.0,270.0,100.0,21.0,731.0
Russia,28.0,660.0,263.0,305.0,56.0,1312.0
Saudi Arabia,6.0,391.0,58.0,91.0,67.0,613.0
Slovak Republic,18.0,294.0,230.0,85.0,9.0,636.0
Slovenia,19.0,290.0,232.0,87.0,24.0,652.0
South Africa,125.0,762.0,903.0,309.0,283.0,2382.0
Spain,33.0,383.0,825.0,118.0,72.0,1431.0
Sweden,11.0,278.0,137.0,70.0,4.0,500.0
Switzerland,20.0,285.0,303.0,84.0,13.0,705.0
Tajikistan,2.0,327.0,59.0,76.0,31.0,495.0
Turkmenistan,3.0,366.0,65.0,95.0,54.0,583.0
Ukraine,18.0,318.0,244.0,113.0,16.0,709.0
United Kingdom,8.0,267.0,95.0,75.0,7.0,452.0
United States,274.0,843.0,708.0,443.0,325.0,2593.0
Uzbekistan,2.0,353.0,57.0,90.0,38.0,540.0
